City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Taoudenni,ML,2021-11-15 03:16:26,22.6783,-3.9836,73.83,31,4,7.47
235,Half Moon Bay,US,2021-11-15 03:16:15,37.4636,-122.4286,65.25,81,1,0.0
236,Luganville,VU,2021-11-15 03:16:26,-15.5333,167.1667,84.22,72,38,10.38
237,Port Lincoln,AU,2021-11-15 03:16:27,-34.7333,135.8667,58.23,57,98,15.55
238,Korhogo,CI,2021-11-15 03:16:27,9.45,-5.6333,72.82,47,74,3.11
239,Zasheyek,RU,2021-11-15 03:16:28,67.4066,32.5499,18.01,92,100,4.99
240,Hambantota,LK,2021-11-15 03:16:28,6.1241,81.1185,82.9,73,22,16.91
241,Faya,SA,2021-11-15 03:16:29,18.3851,42.4509,53.71,72,1,0.92
242,Husavik,IS,2021-11-15 03:16:29,66.0449,-17.3389,37.31,73,39,19.48
243,Codrington,AU,2021-11-15 03:16:30,-38.2667,141.9667,53.98,51,93,18.32
244,Olafsvik,IS,2021-11-15 03:16:30,64.8945,-23.7142,38.41,73,100,36.19
245,Vilhena,BR,2021-11-15 03:16:31,-12.7406,-60.1458,69.62,99,99,3.2
246,Changping,CN,2021-11-15 03:16:31,40.2186,116.2197,47.84,37,15,3.13
247,Mayumba,GA,2021-11-15 03:16:32,-3.432,10.6554,76.5,89,100,1.68
248,Belmonte,BR,2021-11-15 03:16:32,-15.8631,-38.8828,70.3,88,100,13.27
249,Kaitangata,NZ,2021-11-15 03:16:33,-46.2817,169.8464,57.92,72,87,12.01
250,Coihaique,CL,2021-11-15 03:16:34,-45.5752,-72.0662,35.55,93,0,3.44
251,Kuusamo,FI,2021-11-15 03:16:34,65.9667,29.1833,12.24,92,0,3.44
252,College,US,2021-11-15 03:14:07,64.8569,-147.8028,-4.72,78,75,4.61
253,Vao,NC,2021-11-15 03:16:35,-22.6667,167.4833,76.86,76,73,10.02
254,Buala,SB,2021-11-15 03:16:35,-8.145,159.5921,85.17,70,57,5.66
255,Thessalon,CA,2021-11-15 03:16:36,46.2501,-83.5666,34.29,69,99,9.64
256,Mayor Pablo Lagerenza,PY,2021-11-15 03:16:37,-19.9309,-60.7718,73.87,94,98,6.62
257,Krutinka,RU,2021-11-15 03:16:37,56.0055,71.5113,16.95,91,100,13.67
258,De Aar,ZA,2021-11-15 03:16:38,-30.6497,24.0123,67.64,30,72,5.1
259,Constantine,DZ,2021-11-15 03:16:38,36.365,6.6147,47.61,93,40,5.75
260,Belfast,GB,2021-11-15 03:16:38,54.5833,-5.9333,52.38,94,90,4.61
261,Athabasca,CA,2021-11-15 03:16:15,54.7169,-113.2854,33.62,97,95,4.18
262,Suntar,RU,2021-11-15 03:16:39,62.1444,117.6319,6.57,91,56,3.29
263,Mar Del Plata,AR,2021-11-15 03:14:03,-38.0023,-57.5575,62.87,83,0,17.0
264,Banda Aceh,ID,2021-11-15 03:16:40,5.5577,95.3222,83.44,69,73,10.11
265,Piney Green,US,2021-11-15 03:16:17,34.716,-77.3202,59.9,94,1,5.75
266,Peterhead,GB,2021-11-15 03:16:41,57.5058,-1.7981,50.45,91,100,15.17
267,Lerwick,GB,2021-11-15 03:16:41,60.1545,-1.1494,50.0,93,100,16.64
268,Petropavlovsk-Kamchatskiy,RU,2021-11-15 03:16:42,53.0452,158.6483,30.79,100,90,6.71
269,Mawlaik,MM,2021-11-15 03:16:42,23.6333,94.4167,68.18,98,98,1.34
270,Kamphaeng Phet,TH,2021-11-15 03:16:43,16.25,99.5,79.07,75,28,2.48
271,Watsa,CD,2021-11-15 03:16:43,3.0372,29.5355,64.11,97,94,0.6
272,Te Anau,NZ,2021-11-15 03:16:44,-45.4167,167.7167,51.1,87,100,6.58
273,Rundu,NA,2021-11-15 03:16:44,-17.9333,19.7667,72.54,59,100,3.06
274,Meulaboh,ID,2021-11-15 03:16:45,4.1363,96.1285,82.44,72,88,3.56
275,Katsuura,JP,2021-11-15 03:17:46,35.1333,140.3,66.24,62,22,9.66
276,Maragogi,BR,2021-11-15 03:17:46,-9.0122,-35.2225,78.04,82,21,9.57
277,Khash,IR,2021-11-15 03:17:46,28.2211,61.2158,45.55,46,0,5.32
278,Yerbogachen,RU,2021-11-15 03:17:47,61.2767,108.0108,17.29,95,100,4.23
279,Portland,US,2021-11-15 03:13:55,45.5234,-122.6762,62.91,86,90,3.0
280,Tutoia,BR,2021-11-15 03:17:48,-2.7619,-42.2744,78.19,86,81,8.14
281,Pisco,PE,2021-11-15 03:14:46,-13.7,-76.2167,64.45,77,0,11.5
282,La Palma,US,2021-11-15 03:17:48,33.8464,-118.0467,81.34,43,1,0.0
283,Goma,CD,2021-11-15 03:17:49,-1.6792,29.2228,61.39,81,100,2.13
284,Vila Velha,BR,2021-11-15 03:17:50,-20.3297,-40.2925,64.35,88,40,2.3
285,Airai,TL,2021-11-15 03:17:50,-8.9266,125.4092,63.1,90,100,1.92
286,Methoni,GR,2021-11-15 03:17:51,36.8197,21.7049,63.21,78,71,12.59
287,Bobrovka,RU,2021-11-15 03:17:51,54.047,61.7455,8.94,93,8,4.54
288,Villa Carlos Paz,AR,2021-11-15 03:17:51,-31.4241,-64.4978,62.06,63,0,4.0
289,Ulaangom,MN,2021-11-15 03:17:52,49.9811,92.0667,22.14,84,100,2.62
290,Batagay,RU,2021-11-15 03:17:52,67.6333,134.6333,-16.46,96,100,0.43
291,Narasannapeta,IN,2021-11-15 03:17:53,18.4167,84.05,80.15,82,35,5.37
